commit_date,commit_hash,loc_c,loc_cpp,loc_c_cpp
2020-09-01,4ef5de02c,72936,82439,155375
2020-08-01,74161f485,73061,82426,155487
2020-07-01,e2abade42,72961,82244,155205
2020-06-01,53a17f552,72736,81799,154535
2020-05-01,dc06e320d,72199,81359,153558
2020-04-01,0cf14d3ec,70633,79911,150544
2020-03-01,3280287c0,70566,79757,150323
2020-02-01,093a82392,70571,79611,150182
2020-01-01,cbae965ca,70328,79220,149548
2019-12-01,ee0716f38,70332,78295,148627
2019-11-01,f0bdf5c9a,70255,78006,148261
2019-10-01,1458b49a9,71296,77587,148883
2019-09-01,3b62960c5,71118,77122,148240
2019-08-01,303f1a86a,71073,76879,147952
2019-07-01,d6f9c359d,70773,76483,147256
2019-06-01,c37e64cba,70653,76393,147046
2019-05-01,b3239c626,69488,75387,144875
2019-04-01,a4af5f85b,69273,74043,143316
2019-03-01,a6124742d,69342,74029,143371
2019-02-01,9978f0a86,69544,73466,143010
2019-01-01,8e8f25042,71294,72111,143405
2018-12-01,0f5ecd3a8,69866,71150,141016
2018-11-01,cc9d93525,69862,70608,140470
2018-10-01,3474270ab,70172,69864,140036
2018-09-01,67e64342c,70148,69164,139312
2018-08-01,548c27646,70033,68498,138531
2018-07-01,791f2822b,69935,68271,138206
2018-06-01,81a6f6d8d,70130,67980,138110
2018-05-01,58d6fc48c,69772,66009,135781
2018-04-01,eb7c3008c,70103,65453,135556
2018-03-01,8df8e6420,69818,64816,134634
2018-02-01,48669209b,69620,64525,134145
2018-01-01,0a54e9984,71440,63493,134933
2017-12-01,48eaa28a1,71020,63487,134507
2017-11-01,dca1afb32,70801,62736,133537
2017-10-01,575334657,70755,62441,133196
2017-09-01,74795b32c,70455,62458,132913
2017-08-01,d272dea99,70612,62540,133152
2017-07-01,a93bc1124,89758,42838,132596
2017-06-01,b22e15c33,90566,43112,133678
2017-05-01,58e449904,89615,42354,131969
2017-04-01,ebcb5beb1,89113,41318,130431
2017-03-01,39425b0f3,88820,41184,130004
2017-02-01,e1e78130f,88453,41223,129676
2017-01-01,a81967b47,90100,19220,109320
2016-12-01,509889d3d,90517,18936,109453
2016-11-01,70aba26c7,89979,17927,107906
2016-10-01,54afdab58,89841,17252,107093
2016-09-01,57e929f3c,90194,16214,106408
2016-08-01,0d1b0961f,90600,15145,105745
2016-07-01,0ba87732c,88206,14900,103106
2016-06-01,bbd43b5e9,90380,14818,105198
2016-05-01,d18cb7786,90362,14395,104757
2016-04-01,d44a94311,89700,14238,103938
2016-03-01,2c198fae2,88045,13556,101601
2016-02-01,72f7e2108,90086,13146,103232
2016-01-01,3202750a9,90808,12773,103581
2015-12-01,c4f25ce0c,91061,12445,103506
2015-11-01,ce514698f,86667,11865,98532
2015-10-01,20605684e,86117,11606,97723
2015-09-01,ee0b02a10,85887,11255,97142
2015-08-01,fc05994e2,85647,10909,96556
2015-07-01,705076ac9,85574,10481,96055
2015-06-01,bd15a8e74,84943,9415,94358
2015-05-01,68de407b5,87545,7310,94855
2015-04-01,5a3162a52,87468,4282,91750
2015-03-01,b826c0d67,88405,2860,91265
2015-02-01,efed2210e,89251,2654,91905
2015-01-01,d3bcf1316,88852,2168,91020
2014-12-01,4e0a7e5a1,90984,2008,92992
2014-11-01,bc786a956,90938,1887,92825
2014-10-01,fb3ff2c66,90350,1809,92159
2014-09-01,6c7aed048,89975,1741,91716
2014-08-01,581a17f5c,90800,1171,91971
2014-07-01,8a09146b8,93273,912,94185
2014-06-20,95c29f3,89694,533,90227