cve_id,in_study_range,version_introduced,version_fixed,cvss,affected_libressl,affected_boringssl,openssl_patch
CVE-2020-1967,N,1.1.1d,1.1.1g,5,N/A,N/A,https://github.com/openssl/openssl/commit/eb563247aef3e83dda7679c43f9649270462e5b1
CVE-2019-1549,N,1.1.1,1.1.1d,5,N/A,N/A,https://github.com/openssl/openssl/commit/1b0fe00e2704b5e20334a16d3c9099d1ba2ef1be
CVE-2019-1543,N,1.1.0,1.1.1c,5.8,N/A,N/A,https://github.com/openssl/openssl/commit/f426625b6ae9a7831010750490a5f0ad689c5ba3
CVE-2018-0735,N,1.1.0,1.1.1a,4.3,N/A,N/A,https://github.com/openssl/openssl/commit/56fb454d281a023b3f950d969693553d3f3ceea1
CVE-2018-0733,N,1.1.0,1.1.0h,4.3,N/A,N/A,https://github.com/openssl/openssl/commit/56d5a4bfcaf37fa420aef2bb881aa55e61cf5f2f
CVE-2017-3733,N,1.1.0,1.1.0e,5,N/A,N/A,https://github.com/openssl/openssl/commit/4ad93618d26a3ea23d36ad5498ff4f59eff3a4d2
CVE-2017-3730,N,1.1.0,1.1.0d,5,N/A,N/A,https://github.com/openssl/openssl/commit/efbe126e3ebb9123ac9d058aa2bb044261342aaa
CVE-2016-7054,N,1.1.0,1.1.0c,5,N/A,N/A,https://github.com/openssl/openssl/commit/99d97842ddb5fbbbfb5e9820a64ebd19afe569f6
CVE-2016-7053,N,1.1.0,1.1.0c,5,N/A,N/A,https://github.com/openssl/openssl/commit/610b66267e41a32805ab54cbc580c5a6d5826cb4
CVE-2016-6309,N,1.1.0a,1.1.0b,10,N/A,N/A,https://github.com/openssl/openssl/commit/acacbfa7565c78d2273c0b2a2e5e803f44afefeb
CVE-2016-6308,N,1.1.0,1.1.0a,7.1,N/A,N/A,https://github.com/openssl/openssl/commit/df6b5e29ffea2d5a3e08de92fb765fdb21c7a21e
CVE-2016-6307,N,1.1.0,1.1.0a,4.3,N/A,N/A,https://github.com/openssl/openssl/commit/4b390b6c3f8df925dc92a3dd6b022baa9a2f4650
CVE-2016-6305,N,1.1.0,1.1.0a,5,N/A,N/A,https://github.com/openssl/openssl/commit/63658103d4441924f8dbfc517b99bb54758a98b9
CVE-2020-1971,N,1.0.2,1.1.1i,4.3,N/A,N/A,https://github.com/openssl/openssl/commit/f960d81215ebf3f65e03d4d5d857fb9b666d6920
CVE-2020-1968,N,1.0.2,1.0.2w,4.3,N/A,N/A,N/A
CVE-2019-1551,N,1.0.2,1.1.1e,5,N/A,N/A,https://github.com/openssl/openssl/commit/419102400a2811582a7a3d4a4e317d72e5ce0a8f
CVE-2019-1563,N,1.0.2,1.1.1d,4.3,N/A,N/A,https://github.com/openssl/openssl/commit/08229ad838c50f644d7e928e2eef147b4308ad64
CVE-2019-1559,N,1.0.2,1.0.2r,4.3,N/A,N/A,https://github.com/openssl/openssl/commit/e9bbefbf0f24c57645e7ad6a5a71ae649d18ac8e
CVE-2019-1552,N,1.0.2,1.1.1d,1.9,N/A,N/A,https://github.com/openssl/openssl/commit/54aa9d51b09d67e90db443f682cface795f5af9e
CVE-2019-1547,N,1.0.2,1.1.1d,1.9,N/A,N/A,https://github.com/openssl/openssl/commit/30c22fa8b1d840036b8e203585738df62a03cec8
CVE-2018-0739,N,1.0.2b,1.1.0h,4.3,N/A,N/A,https://github.com/openssl/openssl/commit/9310d45087ae546e27e61ddf8f6367f29848220d
CVE-2018-0737,N,1.0.2,1.1.0i,4.3,N/A,N/A,https://github.com/openssl/openssl/commit/349a41da1ad88ad87825414752a8ff5fdd6a6c3f
CVE-2018-0734,N,1.0.2,1.1.1a,4.3,N/A,N/A,https://github.com/openssl/openssl/commit/43e6a58d4991a451daf4891ff05a48735df871ac
CVE-2018-0732,N,1.0.2,1.1.0i,5,N/A,N/A,https://github.com/openssl/openssl/commit/3984ef0b72831da8b3ece4745cac4f8575b19098
CVE-2018-5407,N,1.0.2,1.1.0i,1.9,N/A,N/A,https://github.com/openssl/openssl/commit/aab7c770353b1dc4ba045938c8fb446dd1c4531e
CVE-2017-3738,N,1.0.2,1.1.0h,4.3,N/A,N/A,https://github.com/openssl/openssl/commit/ca51bafc1a88d8b8348f5fd97adc5d6ca93f8e76
CVE-2017-3737,N,1.0.2b,1.0.2n,4.3,N/A,N/A,https://github.com/openssl/openssl/commit/898fb884b706aaeb283de4812340bb0bde8476dc
CVE-2017-3736,N,1.0.2,1.1.0g,4,N/A,N/A,https://github.com/openssl/openssl/commit/38d600147331d36e74174ebbd4008b63188b321b
CVE-2017-3732,N,1.0.2,1.1.0d,4.3,N/A,N/A,https://github.com/openssl/openssl/commit/760d04342a495ee86bf5adc71a91d126af64397f
CVE-2017-3731,N,1.0.2,1.1.0d,5,N/A,N/A,https://github.com/openssl/openssl/commit/51d009043670a627d6abe66894126851cf3690e9
CVE-2016-7055,N,1.0.2,1.1.0c,2.6,N/A,N/A,https://github.com/openssl/openssl/commit/57c4b9f6a2f800b41ce2836986fe33640f6c3f8a
CVE-2016-7052,N,1.0.2i,1.0.2j,5,N/A,N/A,https://github.com/openssl/openssl/commit/6e629b5be45face20b4ca71c4fcbfed78b864a2e
CVE-2016-0701,N,1.0.2,1.0.2f,2.6,N/A,N/A,https://github.com/openssl/openssl/commit/878e2c5b13010329c203f309ed0c8f2113f85648
CVE-2015-3193,N,1.0.2,1.0.2e,5,N/A,N/A,https://github.com/openssl/openssl/commit/d73cc256c8e256c32ed959456101b73ba9842f72
CVE-2015-1794,N,1.0.2,1.0.2e,5,N/A,N/A,https://github.com/openssl/openssl/commit/ada57746b6b80beae73111fe1291bf8dd89af91c
CVE-2015-1787,N,1.0.2,1.0.2a,2.6,N/A,N/A,https://github.com/openssl/openssl/commit/b19d8143212ae5fbc9cebfd51c01f802fabccd33
CVE-2015-0291,N,1.0.2,1.0.2a,5,N/A,N/A,https://github.com/openssl/openssl/commit/76343947ada960b6269090638f5391068daee88d
CVE-2015-0290,N,1.0.2,1.0.2a,5,N/A,N/A,https://github.com/openssl/openssl/commit/77c77f0a1b9f15b869ca3342186dfbedd1119d0e
CVE-2015-0285,N,1.0.2,1.0.2a,4.3,N/A,N/A,https://github.com/openssl/openssl/commit/e1b568dd2462f7cacf98f3d117936c34e2849a6b
CVE-2015-0208,N,1.0.2,1.0.2a,4.3,N/A,N/A,https://github.com/openssl/openssl/commit/4b22cce3812052fe64fc3f6d58d8cc884e3cb834
CVE-2015-0207,N,1.0.2,1.0.2a,5,N/A,N/A,https://github.com/openssl/openssl/commit/819418110b6fff4a7b96f01a5d68f71df3e3b736
CVE-2016-6306,Y,1.0.1,1.0.2i,4.3,N,Y,https://github.com/openssl/openssl/commit/bb1a4866034255749ac578adb06a76335fc117b1
CVE-2016-6304,Y,1.0.1,1.1.0a,7.8,Y,N,https://github.com/openssl/openssl/commit/2c0d295e26306e15a92eb23a84a1802005c1c137
CVE-2016-6303,Y,1.0.1,1.0.2i,7.5,Y,N,https://github.com/openssl/openssl/commit/2b4029e68fd7002d2307e6c3cde0f3784eef9c83
CVE-2016-6302,Y,1.0.1,1.0.2i,5,Y,Y,https://github.com/openssl/openssl/commit/1bbe48ab149893a78bf99c8eb8895c928900a16f
CVE-2016-2182,Y,1.0.1,1.0.2i,7.5,Y,Y,https://github.com/openssl/openssl/commit/07bed46f332fce8c1d157689a2cdf915a982ae34
CVE-2016-2181,Y,1.0.1,1.0.2i,5,Y,Y,https://github.com/openssl/openssl/commit/b77ab018b79a00f789b0fb85596b446b08be4c9d
CVE-2016-2180,Y,1.0.1,1.0.2i,5,Y,N,https://github.com/openssl/openssl/commit/0ed26acce328ec16a3aa635f1ca37365e8c7403a
CVE-2016-2179,Y,1.0.1,1.0.2i,5,Y,Y,https://github.com/openssl/openssl/commit/00a4c1421407b6ac796688871b0a49a179c694d9
CVE-2016-2178,Y,1.0.1,1.0.2i,2.1,Y,Y,https://github.com/openssl/openssl/commit/399944622df7bd81af62e67ea967c470534090e2
CVE-2016-2177,Y,1.0.1,1.0.2i,7.5,Y,N,https://github.com/openssl/openssl/commit/a004e72b95835136d3f1ea90517f706c24c03da7
CVE-2016-2176,Y,1.0.1,1.0.2h,6.4,N,N,https://github.com/openssl/openssl/commit/2919516136a4227d9e6d8f2fe66ef976aaf8c561
CVE-2016-2109,Y,1.0.1,1.0.2h,7.8,Y,Y,https://github.com/openssl/openssl/commit/c62981390d6cf9e3d612c489b8b77c2913b25807
CVE-2016-2108,Y,1.0.1,1.0.2c,10,Y,Y,https://github.com/openssl/openssl/commit/f5da52e308a6aeea6d5f3df98c4da295d7e9cc27
CVE-2016-2107,Y,1.0.1,1.0.2h,2.6,Y,N,https://github.com/openssl/openssl/commit/68595c0c2886e7942a14f98c17a55a88afb6c292
CVE-2016-2106,Y,1.0.1,1.0.2h,5,Y,Y,https://github.com/openssl/openssl/commit/3f3582139fbb259a1c3cbb0a25236500a409bf26
CVE-2016-2105,Y,1.0.1,1.0.2h,5,Y,N,https://github.com/openssl/openssl/commit/5b814481f3573fa9677f3a31ee51322e2a22ee6a
CVE-2016-0800,Y,1.0.1,1.0.2g,4.3,N,N,https://github.com/openssl/openssl/commit/800fe8e339f0926b0ddda9cd1959c19bd17dc65b
CVE-2016-0799,Y,1.0.1,1.0.2g,10,N,N,https://github.com/openssl/openssl/commit/578b956fe741bf8e84055547b1e83c28dd902c73
CVE-2016-0798,Y,1.0.1,1.0.2g,7.8,N,N,https://github.com/openssl/openssl/commit/259b664f950c2ba66fbf4b0fe5281327904ead21
CVE-2016-0797,Y,1.0.1,1.0.2g,5,Y,N,https://github.com/openssl/openssl/commit/c175308407858afff3fc8c2e5e085d94d12edc7d
CVE-2016-0705,Y,1.0.1,1.0.2g,10,Y,N,https://github.com/openssl/openssl/commit/6c88c71b4e4825c7bc0489306d062d017634eb88
CVE-2016-0702,Y,1.0.1,1.0.2g,1.9,Y,Y,https://github.com/openssl/openssl/commit/708dc2f1291e104fe4eef810bb8ffc1fae5b19c1
CVE-2015-3197,Y,1.0.1,1.0.2f,4.3,N,N,https://github.com/openssl/openssl/commit/d81a1600588b726c2bdccda7efad3cc7a87d6245
CVE-2015-3194,Y,1.0.1,1.0.2e,5,Y,Y,https://github.com/openssl/openssl/commit/c394a488942387246653833359a5c94b5832674e
CVE-2015-1793,N,1.0.1n,1.0.2d,6.4,N/A,N/A,https://github.com/openssl/openssl/commit/9a0db453ba017ebcaccbee933ee6511a9ae4d1c8
CVE-2014-5139,Y,1.0.1,1.0.1i,4.3,N,N,https://github.com/openssl/openssl/commit/83764a989dcc87fbea337da5f8f86806fe767b7e
CVE-2014-3513,Y,1.0.1,1.0.1j,7.1,N,N,https://github.com/openssl/openssl/commit/2b0532f3984324ebe1236a63d15893792384328d
CVE-2014-3512,Y,1.0.1,1.0.1i,7.5,Y,N,https://github.com/openssl/openssl/commit/4a23b12a031860253b58d503f296377ca076427b
CVE-2014-3511,Y,1.0.1,1.0.1i,4.3,Y,Y,https://github.com/openssl/openssl/commit/280b1f1ad12131defcd986676a8fc9717aaa601b
CVE-2014-0160,N,1.0.1,1.0.1g,5,N/A,N/A,N/A
CVE-2013-4353,N,1.0.1,1.0.1f,4.3,N/A,N/A,N/A
CVE-2013-6449,N,1.0.1,1.0.1f,4.3,N/A,N/A,N/A
CVE-2012-2686,N,1.0.1,1.0.1d,5,N/A,N/A,N/A
CVE-2015-3196,Y,1.0.0,1.0.2d,4.3,N,N,https://github.com/openssl/openssl/commit/3c66a669dfc7b3792f7af0758ea26fe8502ce70c
CVE-2015-0206,Y,1.0.0,1.0.1k,5,Y,N,https://github.com/openssl/openssl/commit/103b171d8fc282ef435f8de9afbf7782e312961f
CVE-2015-0205,Y,1.0.0,1.0.1k,5,Y,Y,https://github.com/openssl/openssl/commit/1421e0c584ae9120ca1b88098f13d6d2e90b83a3
CVE-2014-3509,Y,1.0.0,1.0.1i,6.8,Y,Y,https://github.com/openssl/openssl/commit/fb0bc2b273bcc2d5401dd883fe869af4fc74bb21
CVE-2014-0198,Y,1.0.0,1.0.1h,4.3,Y,N,https://github.com/openssl/openssl/pull/94/commits/375858fc1220a6f11f45129b7be06ad8303429a6
CVE-2010-5298,Y,1.0.0,1.0.1h,4,Y,N,N/A
CVE-2013-6450,N,1.0.0,1.0.1f,5.8,N/A,N/A,N/A
CVE-2012-0027,N,1.0.0,1.0.0f,5,N/A,N/A,N/A
CVE-2011-3210,N,1.0.0,1.0.0e,5,N/A,N/A,N/A
CVE-2011-3207,N,1.0.0,1.0.0e,5,N/A,N/A,N/A
CVE-2010-4252,N,1.0.0,1.0.0c,7.5,N/A,N/A,N/A
CVE-2010-1633,N,1.0.0,1.0.0a,6.4,N/A,N/A,N/A
CVE-2016-7056,Y,0.9.8,1.0.2,2.1,Y,Y,https://github.com/openssl/openssl/commit/8aed2a7548362e88e84a7feb795a3a97e8395008
CVE-2016-0704,Y,0.9.8,1.0.2a,4.3,N,N,https://github.com/openssl/openssl/commit/ae50d8270026edf5b3c7f8aaa0c6677462b33d97
CVE-2016-0703,Y,0.9.8,1.0.2a,4.3,N,N,https://github.com/openssl/openssl/commit/ae50d8270026edf5b3c7f8aaa0c6677462b33d97
CVE-2015-3195,Y,0.9.8,1.0.2e,5,Y,Y,https://github.com/openssl/openssl/commit/cc598f321fbac9c04da5766243ed55d55948637d
CVE-2015-1792,Y,0.9.8,1.0.2b,5,Y,N,https://github.com/openssl/openssl/commit/cd30f03ac5bf2962f44bd02ae8d88245dff2f12c
CVE-2015-1791,Y,0.9.8,1.0.2b,6.8,Y,Y,https://github.com/openssl/openssl/commit/98ece4eebfb6cd45cc8d550c6ac0022965071afc
CVE-2015-1790,Y,0.9.8,1.0.2b,5,N,N,https://github.com/openssl/openssl/commit/59302b600e8d5b77ef144e447bb046fd7ab72686
CVE-2015-1789,Y,0.9.8,1.0.2b,4.3,Y,Y,https://github.com/openssl/openssl/commit/f48b83b4fb7d6689584cf25f61ca63a4891f5b11
CVE-2015-1788,Y,0.9.8,1.0.2b,4.3,Y,N,https://github.com/openssl/openssl/commit/4924b37ee01f71ae19c94a8934b80eeb2f677932
CVE-2015-0293,Y,0.9.8,1.0.2a,5,N,N,https://github.com/openssl/openssl/commit/86f8fb0e344d62454f8daf3e15236b2b59210756
CVE-2015-0292,Y,0.9.8,1.0.1h,7.5,N,Y,https://github.com/openssl/openssl/commit/d0666f289ac013094bbbf547bfbcd616199b7d2d
CVE-2015-0289,Y,0.9.8,1.0.2a,5,Y,N,https://github.com/openssl/openssl/commit/c0334c2c92dd1bc3ad8138ba6e74006c3631b0f9
CVE-2015-0288,Y,0.9.8,1.0.2a,5,Y,Y,https://github.com/openssl/openssl/commit/28a00bcd8e318da18031b2ac8778c64147cd54f9
CVE-2015-0287,Y,0.9.8,1.0.2a,5,Y,Y,https://github.com/openssl/openssl/commit/b717b083073b6cacc0a5e2397b661678aff7ae7f
CVE-2015-0286,Y,0.9.8zd,1.0.2a,5,Y,Y,https://github.com/openssl/openssl/commit/c3c7fb07dc975dc3c9de0eddb7d8fd79fc9c67c1
CVE-2015-0209,Y,0.9.8,1.0.2a,6.8,Y,Y,https://github.com/openssl/openssl/commit/1b4a8df38fc9ab3c089ca5765075ee53ec5bd66a
CVE-2015-0204,Y,0.9.8,1.0.1k,4.3,Y,Y,https://github.com/openssl/openssl/commit/ce325c60c74b0fa784f5872404b722e120e5cab0
CVE-2014-8275,Y,0.9.8,1.0.1k,5,Y,Y,https://github.com/openssl/openssl/commit/684400ce192dac51df3d3e92b61830a6ef90be3e
CVE-2014-8176,Y,0.9.8,1.0.1h,7.5,N/A,N/A,https://github.com/openssl/openssl/commit/470990fee0182566d439ef7e82d1abf18b7085d7
CVE-2014-3572,Y,0.9.8,1.0.1k,5,Y,Y,https://github.com/openssl/openssl/commit/b15f8769644b00ef7283521593360b7b2135cb63
CVE-2014-3571,Y,0.9.8,1.0.1k,5,Y,Y,https://github.com/openssl/openssl/commit/feba02f3919495e1b960c33ba849e10e77d0785d#diff-e6473b4af1d95ce858f5fd643e1da271439f419dd67581ab93474c8ba01874df; https://github.com/openssl/openssl/commit/248385c606620b29ecc96ca9d3603463f879652b
CVE-2014-3570,Y,0.9.8,1.0.1k,5,Y,Y,https://github.com/openssl/openssl/commit/a7a44ba55cb4f884c6bc9ceac90072dea38e66d0
CVE-2014-3569,N,0.9.8zc,1.0.1k,5,N/A,N/A,https://github.com/openssl/openssl/commit/392fa7a952e97d82eac6958c81ed1e256e6b8ca5
CVE-2014-3568,Y,0.9.8,1.0.1j,4.3,Y,N,https://github.com/openssl/openssl/commit/26a59d9b46574e457870197dffa802871b4c8fc7
CVE-2014-3567,Y,0.9.8g,1.0.1j,7.1,N,Y,https://github.com/openssl/openssl/commit/7fd4ce6a997be5f5c9e744ac527725c2850de203
CVE-2014-3510,Y,0.9.8,1.0.1i,4.3,Y,Y,https://github.com/openssl/openssl/commit/17160033765480453be0a41335fa6b833691c049
CVE-2014-3508,Y,0.9.8,1.0.1i,4.3,Y,Y,https://github.com/openssl/openssl/commit/0042fb5fd1c9d257d713b15a1f45da05cf5c1c87
CVE-2014-3507,Y,0.9.8o,1.0.1i,5,Y,Y,https://github.com/openssl/openssl/commit/d0a4b7d1a2948fce38515b8d862f43e7ba0ebf74
CVE-2014-3506,Y,0.9.8,1.0.1i,5,Y,Y,https://github.com/openssl/openssl/commit/1250f12613b61758675848f6600ebd914ccd7636
CVE-2014-3505,Y,0.9.8m,1.0.1i,5,N,Y,https://github.com/openssl/openssl/commit/bff1ce4e6a1c57c3d0a5f9e4f85ba6385fccfe8b
CVE-2014-0076,N,0.9.8,1.0.1g,4.3,N/A,N/A,https://github.com/openssl/openssl/commit/2198be3483259de374f91e57d247d0fc667aef29
CVE-2014-0224,Y,0.9.8,1.0.1h,5.8,Y,Y,https://github.com/openssl/openssl/commit/bc8923b1ec9c467755cd86f7848c50ee8812e441
CVE-2014-0221,Y,0.9.8,1.0.1h,4.3,Y,Y,https://github.com/openssl/openssl/commit/d3152655d5319ce883c8e3ac4b99f8de4c59d846
CVE-2014-0195,Y,0.9.8o,1.0.1h,6.8,Y,Y,https://github.com/openssl/openssl/commit/1632ef744872edc2aa2a53d487d3e79c965a4ad3
CVE-2014-3470,,0.9.8,1.0.1g,4.3,N,N,https://github.com/openssl/openssl/commit/8011cd56e39a433b1837465259a9bd24a38727fb