3.58, 10/16/2020
3.41, 12/7/2018
3.40.1, 11/30/2018
3.40, 10/15/2018
3.39, 8/31/2018
3.38, 6/21/2018
3.37.3, 6/5/2018
3.37.1, 5/16/2018
3.37, 5/4/2018
3.36.4, 6/5/2018
3.36.3, 6/4/2018
3.36.2, 5/16/2018
3.36.1, 4/9/2018
3.36, 3/5/2018
3.35, 1/18/2018
3.34.1, 11/22/2017
3.34, 11/14/2017
3.33, 9/20/2017
3.32.1, 9/11/2017
3.32, 7/27/2017
3.31.1, 8/8/2017
3.31, 6/8/2017
3.30.2, 4/20/2017
3.30.1, 4/5/2017
3.30.0, 3/14/2017
3.30, 3/14/2017
3.29.5, 4/6/2017
3.29.4, 4/5/2017
3.29.3, 3/6/2017
3.29.2, 3/1/2017
3.29.1, 2/17/2017
3.29, 1/29/2017
3.28.5, 4/21/2017
3.28.4, 4/5/2017
3.28.3, 2/17/2017
3.28.2, 1/29/2017
3.28.1, 1/4/2017
3.28, 12/21/2016
3.27.2, 11/28/2016
3.27.1, 10/3/2016
3.27.0, 9/26/2016
3.27, 9/26/2016
3.26.2, 10/10/2016
3.26.1, 9/26/2016
3.26.0, 8/5/2016
3.26, 8/5/2016
3.25.1, 10/10/2016
3.25.0, 6/20/2016
3.25, 6/20/2016
3.24.0, 5/17/2016
3.24, 5/17/2016
3.23, 2/26/2016
3.22.3, 3/14/2016
3.22.2, 2/26/2016
3.22.1, 2/12/2016
3.22, 1/29/2016
3.21.4, 4/5/2017
3.21.3, 10/17/2016
3.21.2, 9/26/2016
3.21.1, 2/19/2016
3.21, 11/9/2015
3.20.2, 12/16/2015
3.20.1, 10/15/2015
3.20.0, 8/7/2015
3.20, 8/7/2015
3.19.4, 10/16/2015
3.19.3, 8/4/2015
3.19.2.4, 3/11/2016
3.19.2.3, 2/19/2016
3.19.2.2, 12/16/2015
3.19.2.1, 10/16/2015
3.19.2.0, 6/17/2015
3.19.2, 6/17/2015
3.19.1, 5/28/2015
3.19, 4/30/2015
3.18.1, 4/20/2015
3.18, 3/16/2015
3.17.4, 1/22/2015
3.17.3, 12/1/2014
3.17.2, 10/10/2014
3.17.1, 9/23/2014
3.17.0, 8/12/2014
3.17, 8/12/2014
3.16.6, 10/9/2014
3.16.5, 9/23/2014
3.16.4, 8/5/2014
3.16.3, 7/3/2014
3.16.2.3, 10/24/2014
3.16.2.2, 10/9/2014
3.16.2.1, 9/23/2014
3.16.2.0, 6/24/2014
3.16.2, 6/24/2014
3.16.1, 5/1/2014
3.16, 3/14/2014
3.15.5, 2/15/2014
3.15.4, 1/3/2014
3.15.3.1, 12/5/2013
3.15.3, 11/9/2013
3.15.2, 9/25/2013
3.15.1, 6/2/2013
3.15, 5/28/2013
3.14.5, 11/10/2013
3.14.4, 10/22/2013
3.14.3, 2/14/2013
3.14.2, 1/31/2013
3.14.1, 12/13/2012
3.14, 10/18/2012
3.13.6, 8/10/2012
3.13.5, 5/31/2012
3.13.4, 4/6/2012
3.13.3, 2/18/2012
3.13.2, 2/15/2012
3.13.1, 10/27/2011
3.13, 10/6/2011
3.12.11, 8/9/2011
3.12.10, 5/6/2011
3.12.9.1, 12/16/2011
3.12.9, 1/6/2011
3.12.8, 9/16/2010
3.12.7, 7/15/2010
3.12.6, 3/1/2010
3.12.5, 11/18/2009
3.12.4, 8/13/2009
3.12.3.2, 8/12/2009
3.12.3.1, 7/27/2009
3.12.3, 4/1/2009
3.12.2, 10/20/2008
3.12.1, 9/5/2008
3.12, 5/28/2008
3.11.10, 12/2/2008
3.11.9, 1/31/2008
3.11.8, 11/8/2007
3.11.7, 5/24/2007
3.11.6, 2/14/2007
3.11.5, 1/17/2007
3.11.4, 11/16/2006
3.11.3, 9/9/2006
3.11.2, 6/23/2006
3.11.1, 5/4/2006
3.11, 11/22/2005
3.10.2, 10/10/2005
3.10.1, 7/28/2005
3.10, 6/1/2005
3.9.5, 1/14/2005
3.9.4, 11/5/2004
3.9.3, 10/14/2004
3.9.2, 6/23/2004
3.9.1, 5/4/2004
3.9, 1/8/2004
3.8.2, 10/2/2003
3.8.1, 7/10/2003
3.8, 4/3/2003
3.7.11, 4/7/2004
3.7.10, 1/20/2004
3.7.9, 11/7/2003
3.7.8, 7/19/2003
3.7.7, 6/13/2003
3.7.6, 6/4/2003
3.7.5, 5/19/2003
3.7.4, 3/26/2003
3.7.3, 3/17/2003
3.7.2, 3/3/2003
3.7.1, 1/27/2003
3.7, 12/19/2002
3.6.1, 12/3/2002
3.6, 10/8/2002
3.5, 6/28/2002
3.4.5, 11/7/2003
3.4.4, 7/8/2003
3.4.3, 3/4/2003
3.4.2, 6/4/2002
3.4.1, 4/24/2002
3.4, 4/3/2002
3.3.11, 8/4/2004
3.3.4, 3/7/2003
3.3.3, 12/16/2002
3.3.2, 12/11/2001
3.3.1, 9/28/2001
3.3, 7/11/2001
3.2.2, 8/17/2001
3.2.1, 4/5/2001
3.2, 2/27/2001
3.1.1, 12/1/2000
3.1, 10/13/2000