3.1.3, 9/19/2023
3.1.2, 8/1/2023
3.1.1, 5/30/2023
3.1.0, 3/14/2023
3.0.11, 9/19/2023
3.0.10, 8/1/2023
3.0.9, 5/30/2023
3.0.8, 2/7/2023
3.0.7, 11/1/2022
3.0.6, 10/11/2022
3.0.5, 7/5/2022
3.0.4, 6/21/2022
3.0.3, 5/3/2022
3.0.2, 3/15/2022
3.0.1, 12/14/2021
3.0.0, 9/7/2021
1.1.1w, 9/11/2023
1.1.1v, 8/1/2023
1.1.1u, 5/30/2023
1.1.1t, 2/7/2023
1.1.1s, 11/1/2022
1.1.1r, 10/11/2022
1.1.1q, 7/5/2022
1.1.1p, 6/21/2022
1.1.1o, 5/3/2022
1.1.1n, 3/15/2022
1.1.1m, 12/14/2021
1.1.1l, 8/24/2021
1.1.1k, 3/25/2021
1.1.1j, 2/16/2021
1.1.1i, 12/8/2020
1.1.1h, 9/22/2020
1.1.1g, 4/21/2020
1.1.1f, 3/31/2020
1.1.1e, 3/17/2020
1.1.1d, 9/10/2019
1.1.1c, 5/28/2019
1.1.1b, 2/26/2019
1.1.1a, 11/20/2018
1.1.1, 9/11/2018
1.1.0l, 9/10/2019
1.1.0k, 5/28/2019
1.1.0j, 11/20/2018
1.1.0i, 8/14/2018
1.1.0h, 3/27/2018
1.1.0g, 11/2/2017
1.1.0f, 5/25/2017
1.1.0e, 2/16/2017
1.1.0d, 1/26/2017
1.1.0c, 11/10/2016
1.1.0b, 9/26/2016
1.1.0a, 9/22/2016
1.1.0, 8/25/2016
1.0.2y, 1/15/2021
1.0.2u, 12/20/2019
1.0.2t, 9/10/2019
1.0.2s, 5/28/2019
1.0.2r, 2/26/2019
1.0.2q, 11/20/2018
1.0.2p, 8/14/2018
1.0.2o, 3/27/2018
1.0.2n, 12/7/2017
1.0.2m, 11/2/2017
1.0.2l, 5/25/2017
1.0.2k, 1/26/2017
1.0.2j, 9/26/2016
1.0.2i, 9/22/2016
1.0.2h, 5/3/2016
1.0.2g, 3/1/2016
1.0.2f, 1/28/2016
1.0.2e, 12/3/2015
1.0.2d, 7/9/2015
1.0.2c, 6/12/2015
1.0.2b, 6/11/2015
1.0.2a, 3/19/2015
1.0.2, 1/22/2015
1.0.1u, 9/22/2016
1.0.1t, 5/3/2016
1.0.1s, 3/1/2016
1.0.1r, 1/28/2016
1.0.1q, 12/3/2015
1.0.1p, 7/9/2015
1.0.1o, 6/12/2015
1.0.1n, 6/11/2015
1.0.1m, 3/19/2015
1.0.1l, 1/15/2015
1.0.1k, 1/8/2015
1.0.1j, 10/15/2014
1.0.1i, 8/6/2014
1.0.1h, 6/5/2014
1.0.1g, 4/7/2014
1.0.1f, 1/6/2014
1.0.1e-25.el7, 2/11/2013
1.0.1e, 2/11/2013
1.0.1d, 2/5/2013
1.0.1c, 5/10/2012
1.0.1b, 4/26/2012
1.0.1a, 4/19/2012
1.0.1, 3/14/2012
1.0.0t, 12/3/2015
1.0.0s, 6/11/2015
1.0.0r, 3/19/2015
1.0.0q, 1/15/2015
1.0.0p, 1/8/2015
1.0.0o, 10/15/2014
1.0.0n, 8/6/2014
1.0.0m, 6/5/2014
1.0.0l, 1/6/2014
1.0.0k, 2/5/2013
1.0.0j, 5/10/2012
1.0.0i, 4/19/2012
1.0.0h, 3/12/2012
1.0.0g, 1/18/2012
1.0.0f, 1/4/2012
1.0.0e, 9/6/2011
1.0.0d, 2/8/2011
1.0.0c, 12/2/2010
1.0.0b, 11/16/2010
1.0.0a, 6/1/2010
1.0.0, 3/29/2010
0.9.8zh, 12/3/2015
0.9.8zg, 6/11/2015
0.9.8zf, 3/19/2015
0.9.8ze, 1/15/2015
0.9.8zd, 1/8/2015
0.9.8zc, 10/15/2014
0.9.8zb, 8/6/2014
0.9.8za, 6/5/2014
0.9.8z, 6/5/2014
0.9.8y, 2/5/2013
0.9.8x, 5/10/2012
0.9.8w, 4/24/2012
0.9.8v, 4/19/2012
0.9.8u, 3/12/2012
0.9.8t, 1/18/2012
0.9.8s, 1/4/2012
0.9.8r, 2/8/2011
0.9.8q, 2/2/2010
0.9.8p, 11/16/2010
0.9.8o, 6/1/2010
0.9.8n, 3/24/2010
0.9.8m, 2/25/2010
0.9.8l, 11/5/2009
0.9.8k, 3/25/2009
0.9.8j, 1/7/2009
0.9.8i, 9/15/2008
0.9.8h, 5/28/2008
0.9.8g, 10/19/2007
0.9.8f, 10/11/2007
0.9.8e, 2/23/2007
0.9.8d, 9/28/2006
0.9.8c, 9/5/2006
0.9.8b, 5/4/2006
0.9.8a, 10/11/2005
0.9.8, 7/5/2005
0.9.7m, 2/23/2007
0.9.7l, 9/28/2006
0.9.7k, 9/5/2006
0.9.7j, 5/4/2006
0.9.7i, 10/14/2005
0.9.7h, 10/11/2005
0.9.7g, 4/11/2005
0.9.7f, 3/22/2005
0.9.7e, 10/25/2004
0.9.7d, 3/17/2004
0.9.7c, 9/30/2003
0.9.7b, 4/10/2003
0.9.7a, 2/19/2003
0.9.7, 12/31/2002
0.9.6m, 3/17/2004
0.9.6l, 11/4/2003
0.9.6k, 9/30/2003
0.9.6j, 4/10/2003
0.9.6i, 2/19/2003
0.9.6h, 12/5/2002
0.9.6g, 8/9/2002
0.9.6f, 8/8/2002
0.9.6e, 7/30/2002
0.9.6d, 5/9/2002
0.9.6c, 12/21/2001
0.9.6b, 7/9/2001
0.9.6a, 4/5/2001
0.9.6, 9/24/2000
0.9.5a, 4/1/2000
0.9.5, 2/28/2000
0.9.4, 8/9/1999
0.9.3a, 5/29/1999
0.9.3, 5/25/1999
0.9.2b, 3/22/1999
0.9.2, 3/22/1999
0.9.1c, 12/23/1998
0.9.1, 12/23/1998
0.9.0b, 4/10/1998